Starting training...

Epoch 1/700
[11/21] Loss: 3.6073 | Step: 0.04s | ETA: 0s | 52.4%
[12/21] Loss: 3.6283 | Step: 0.04s | ETA: 0s | 57.1%
[13/21] Loss: 3.5417 | Step: 0.04s | ETA: 0s | 61.9%
[14/21] Loss: 3.3745 | Step: 0.04s | ETA: 0s | 66.7%
[15/21] Loss: 3.4166 | Step: 0.04s | ETA: 0s | 71.4%
[16/21] Loss: 3.3331 | Step: 0.04s | ETA: 0s | 76.2%
[17/21] Loss: 3.7638 | Step: 0.04s | ETA: 0s | 81.0%
[18/21] Loss: 3.6097 | Step: 0.04s | ETA: 0s | 85.7%
[19/21] Loss: 3.5979 | Step: 0.04s | ETA: 0s | 90.5%
[20/21] Loss: 3.5606 | Step: 0.04s | ETA: 0s | 95.2%
[21/21] Loss: 3.4244 | Step: 0.03s | ETA: 0s | 100.0%
Epoch 7 completed in 2.0s - Avg loss: 3.5368

Epoch 8/700
[1/21] Loss: 3.5368 | Step: 0.04s | ETA: 1s | 4.8%
[2/21] Loss: 3.3142 | Step: 0.04s | ETA: 1s | 9.5%
[3/21] Loss: 3.6450 | Step: 0.04s | ETA: 1s | 14.3%
[4/21] Loss: 3.4158 | Step: 0.04s | ETA: 1s | 19.0%
[5/21] Loss: 3.3693 | Step: 0.04s | ETA: 1s | 23.8%
[6/21] Loss: 3.6278 | Step: 0.04s | ETA: 1s | 28.6%
[7/21] Loss: 3.5002 | Step: 0.04s | ETA: 1s | 33.3%
[8/21] Loss: 3.7401 | Step: 0.04s | ETA: 1s | 38.1%
[9/21] Loss: 3.4966 | Step: 0.05s | ETA: 1s | 42.9%
[10/21] Loss: 3.7113 | Step: 0.04s | ETA: 0s | 47.6%
[11/21] Loss: 3.4909 | Step: 0.04s | ETA: 0s | 52.4%
[12/21] Loss: 3.4661 | Step: 0.04s | ETA: 0s | 57.1%
[13/21] Loss: 3.4294 | Step: 0.04s | ETA: 0s | 61.9%
[14/21] Loss: 3.6209 | Step: 0.04s | ETA: 0s | 66.7%
[15/21] Loss: 3.5772 | Step: 0.04s | ETA: 0s | 71.4%
[16/21] Loss: 3.4992 | Step: 0.04s | ETA: 0s | 76.2%
[17/21] Loss: 3.4792 | Step: 0.04s | ETA: 0s | 81.0%
[18/21] Loss: 3.4879 | Step: 0.04s | ETA: 0s | 85.7%
[19/21] Loss: 3.2906 | Step: 0.04s | ETA: 0s | 90.5%
[20/21] Loss: 3.5310 | Step: 0.04s | ETA: 0s | 95.2%
[21/21] Loss: 3.5101 | Step: 0.04s | ETA: 0s | 100.0%
Epoch 8 completed in 2.2s - Avg loss: 3.5114

Epoch 9/700
[1/21] Loss: 3.5431 | Step: 0.05s | ETA: 1s | 4.8%
[2/21] Loss: 3.3126 | Step: 0.04s | ETA: 1s | 9.5%
[3/21] Loss: 3.5019 | Step: 0.04s | ETA: 1s | 14.3%
[4/21] Loss: 3.5585 | Step: 0.05s | ETA: 1s | 19.0%
[5/21] Loss: 3.3568 | Step: 0.04s | ETA: 1s | 23.8%
[6/21] Loss: 3.5100 | Step: 0.04s | ETA: 1s | 28.6%
[7/21] Loss: 3.4855 | Step: 0.04s | ETA: 1s | 33.3%
[8/21] Loss: 3.5330 | Step: 0.05s | ETA: 1s | 38.1%
[9/21] Loss: 3.5769 | Step: 0.05s | ETA: 1s | 42.9%
[10/21] Loss: 3.3358 | Step: 0.05s | ETA: 1s | 47.6%
[11/21] Loss: 3.7533 | Step: 0.05s | ETA: 0s | 52.4%
[12/21] Loss: 3.6636 | Step: 0.05s | ETA: 0s | 57.1%
[13/21] Loss: 3.2814 | Step: 0.04s | ETA: 0s | 61.9%
[14/21] Loss: 3.4416 | Step: 0.05s | ETA: 0s | 66.7%
[15/21] Loss: 3.7446 | Step: 0.04s | ETA: 0s | 71.4%
[16/21] Loss: 3.5690 | Step: 0.04s | ETA: 0s | 76.2%
[17/21] Loss: 3.4099 | Step: 0.05s | ETA: 0s | 81.0%
[18/21] Loss: 3.4659 | Step: 0.04s | ETA: 0s | 85.7%
[19/21] Loss: 3.7367 | Step: 0.05s | ETA: 0s | 90.5%
[20/21] Loss: 3.3066 | Step: 0.05s | ETA: 0s | 95.2%
[21/21] Loss: 3.3990 | Step: 0.04s | ETA: 0s | 100.0%
Epoch 9 completed in 2.2s - Avg loss: 3.4993

Epoch 10/700
[1/21] Loss: 3.5552 | Step: 0.05s | ETA: 1s | 4.8%
[2/21] Loss: 3.4635 | Step: 0.04s | ETA: 1s | 9.5%
[3/21] Loss: 3.2760 | Step: 0.05s | ETA: 1s | 14.3%
[4/21] Loss: 3.6520 | Step: 0.04s | ETA: 1s | 19.0%
[5/21] Loss: 3.4133 | Step: 0.05s | ETA: 1s | 23.8%
[6/21] Loss: 3.8817 | Step: 0.04s | ETA: 1s | 28.6%
[7/21] Loss: 3.2143 | Step: 0.05s | ETA: 1s | 33.3%
[8/21] Loss: 3.1767 | Step: 0.05s | ETA: 1s | 38.1%
[9/21] Loss: 3.4807 | Step: 0.05s | ETA: 1s | 42.9%
[10/21] Loss: 3.1113 | Step: 0.05s | ETA: 1s | 47.6%
[11/21] Loss: 3.5657 | Step: 0.05s | ETA: 0s | 52.4%
[12/21] Loss: 3.5076 | Step: 0.05s | ETA: 0s | 57.1%
[13/21] Loss: 3.4289 | Step: 0.05s | ETA: 0s | 61.9%
[14/21] Loss: 3.6383 | Step: 0.04s | ETA: 0s | 66.7%
[15/21] Loss: 3.5913 | Step: 0.05s | ETA: 0s | 71.4%
[16/21] Loss: 3.3768 | Step: 0.05s | ETA: 0s | 76.2%
[17/21] Loss: 3.4959 | Step: 0.05s | ETA: 0s | 81.0%
[18/21] Loss: 3.4853 | Step: 0.04s | ETA: 0s | 85.7%
[19/21] Loss: 3.2543 | Step: 0.05s | ETA: 0s | 90.5%
[20/21] Loss: 3.7146 | Step: 0.05s | ETA: 0s | 95.2%
[21/21] Loss: 3.7457 | Step: 0.03s | ETA: 0s | 100.0%
Epoch 10 completed in 2.2s - Avg loss: 3.4776

Epoch 11/700
[1/21] Loss: 3.4972 | Step: 0.20s | ETA: 4s | 4.8%
[2/21] Loss: 3.6264 | Step: 0.15s | ETA: 3s | 9.5%
[3/21] Loss: 3.6700 | Step: 0.09s | ETA: 2s | 14.3%
[4/21] Loss: 3.5856 | Step: 0.02s | ETA: 0s | 19.0%
[5/21] Loss: 3.4580 | Step: 0.02s | ETA: 0s | 23.8%
[6/21] Loss: 3.5459 | Step: 0.02s | ETA: 0s | 28.6%
[7/21] Loss: 3.5545 | Step: 0.02s | ETA: 0s | 33.3%
[8/21] Loss: 3.1784 | Step: 0.02s | ETA: 0s | 38.1%
[9/21] Loss: 3.5176 | Step: 0.02s | ETA: 0s | 42.9%
[10/21] Loss: 3.6052 | Step: 0.02s | ETA: 0s | 47.6%
[11/21] Loss: 3.5233 | Step: 0.02s | ETA: 0s | 52.4%
[12/21] Loss: 3.6770 | Step: 0.02s | ETA: 0s | 57.1%
[13/21] Loss: 3.5131 | Step: 0.02s | ETA: 0s | 61.9%
[14/21] Loss: 3.4825 | Step: 0.02s | ETA: 0s | 66.7%
[15/21] Loss: 3.3896 | Step: 0.03s | ETA: 0s | 71.4%
[16/21] Loss: 3.4687 | Step: 0.02s | ETA: 0s | 76.2%
[17/21] Loss: 3.4439 | Step: 0.03s | ETA: 0s | 81.0%
[18/21] Loss: 3.3779 | Step: 0.02s | ETA: 0s | 85.7%
[19/21] Loss: 3.4222 | Step: 0.02s | ETA: 0s | 90.5%
[20/21] Loss: 3.4074 | Step: 0.02s | ETA: 0s | 95.2%
[21/21] Loss: 3.1776 | Step: 0.02s | ETA: 0s | 100.0%
Epoch 11 completed in 2.1s - Avg loss: 3.4820

Epoch 12/700
[1/21] Loss: 3.3816 | Step: 0.03s | ETA: 1s | 4.8%
[2/21] Loss: 3.2783 | Step: 0.02s | ETA: 0s | 9.5%
[3/21] Loss: 3.2630 | Step: 0.02s | ETA: 0s | 14.3%
[4/21] Loss: 3.4537 | Step: 0.02s | ETA: 0s | 19.0%
[5/21] Loss: 3.3789 | Step: 0.03s | ETA: 0s | 23.8%
[6/21] Loss: 3.5791 | Step: 0.03s | ETA: 0s | 28.6%
[7/21] Loss: 3.4557 | Step: 0.03s | ETA: 0s | 33.3%
[8/21] Loss: 3.0648 | Step: 0.03s | ETA: 0s | 38.1%
[9/21] Loss: 3.4310 | Step: 0.03s | ETA: 0s | 42.9%
[10/21] Loss: 3.4565 | Step: 0.03s | ETA: 0s | 47.6%
[11/21] Loss: 3.4113 | Step: 0.03s | ETA: 0s | 52.4%
[12/21] Loss: 3.4546 | Step: 0.03s | ETA: 0s | 57.1%
[13/21] Loss: 3.5078 | Step: 0.03s | ETA: 0s | 61.9%
[14/21] Loss: 3.4861 | Step: 0.03s | ETA: 0s | 66.7%
[15/21] Loss: 3.6514 | Step: 0.03s | ETA: 0s | 71.4%
[16/21] Loss: 3.5965 | Step: 0.03s | ETA: 0s | 76.2%
[17/21] Loss: 3.8381 | Step: 0.03s | ETA: 0s | 81.0%
[18/21] Loss: 3.5626 | Step: 0.03s | ETA: 0s | 85.7%
[19/21] Loss: 3.4352 | Step: 0.03s | ETA: 0s | 90.5%
[20/21] Loss: 3.4451 | Step: 0.03s | ETA: 0s | 95.2%
[21/21] Loss: 3.6756 | Step: 0.02s | ETA: 0s | 100.0%
Epoch 12 completed in 1.9s - Avg loss: 3.4670

Epoch 13/700
[1/21] Loss: 3.3444 | Step: 0.03s | ETA: 1s | 4.8%
[2/21] Loss: 3.1998 | Step: 0.03s | ETA: 1s | 9.5%
[3/21] Loss: 3.4053 | Step: 0.03s | ETA: 1s | 14.3%
[4/21] Loss: 3.1633 | Step: 0.03s | ETA: 1s | 19.0%
[5/21] Loss: 3.4186 | Step: 0.03s | ETA: 0s | 23.8%
[6/21] Loss: 3.4002 | Step: 0.03s | ETA: 0s | 28.6%
[7/21] Loss: 3.4539 | Step: 0.03s | ETA: 0s | 33.3%
[8/21] Loss: 3.4940 | Step: 0.03s | ETA: 0s | 38.1%
[9/21] Loss: 3.7426 | Step: 0.03s | ETA: 0s | 42.9%
[10/21] Loss: 3.7561 | Step: 0.03s | ETA: 0s | 47.6%
[11/21] Loss: 3.5182 | Step: 0.03s | ETA: 0s | 52.4%
[12/21] Loss: 3.4991 | Step: 0.03s | ETA: 0s | 57.1%
[13/21] Loss: 3.6227 | Step: 0.03s | ETA: 0s | 61.9%
[14/21] Loss: 3.4634 | Step: 0.03s | ETA: 0s | 66.7%
[15/21] Loss: 3.4964 | Step: 0.03s | ETA: 0s | 71.4%
[16/21] Loss: 3.5725 | Step: 0.03s | ETA: 0s | 76.2%
[17/21] Loss: 3.3834 | Step: 0.04s | ETA: 0s | 81.0%
[18/21] Loss: 3.6157 | Step: 0.04s | ETA: 0s | 85.7%
[19/21] Loss: 3.4434 | Step: 0.04s | ETA: 0s | 90.5%
[20/21] Loss: 3.4702 | Step: 0.03s | ETA: 0s | 95.2%
[21/21] Loss: 3.5120 | Step: 0.03s | ETA: 0s | 100.0%
Epoch 13 completed in 2.0s - Avg loss: 3.4750

Epoch 14/700
[1/21] Loss: 3.5015 | Step: 0.03s | ETA: 1s | 4.8%
[2/21] Loss: 3.4529 | Step: 0.04s | ETA: 1s | 9.5%
[3/21] Loss: 3.6081 | Step: 0.04s | ETA: 1s | 14.3%
[4/21] Loss: 3.5600 | Step: 0.04s | ETA: 1s | 19.0%
[5/21] Loss: 3.6063 | Step: 0.04s | ETA: 1s | 23.8%
[6/21] Loss: 3.5964 | Step: 0.04s | ETA: 1s | 28.6%
[7/21] Loss: 3.4713 | Step: 0.04s | ETA: 1s | 33.3%
[8/21] Loss: 3.4619 | Step: 0.04s | ETA: 1s | 38.1%
[9/21] Loss: 3.5009 | Step: 0.04s | ETA: 0s | 42.9%
[10/21] Loss: 3.4060 | Step: 0.04s | ETA: 0s | 47.6%
[11/21] Loss: 3.3954 | Step: 0.04s | ETA: 0s | 52.4%
[12/21] Loss: 3.4698 | Step: 0.04s | ETA: 0s | 57.1%
[13/21] Loss: 3.2494 | Step: 0.04s | ETA: 0s | 61.9%
[14/21] Loss: 3.1115 | Step: 0.04s | ETA: 0s | 66.7%
